year,municipality_name,stage,total_revenue,revenue_base,additional_ndfl,legal_deficit_base,transfers,expenditure,deficit,financing_sources,eligible_exceptions,debt_upper_limit,debt_service,exceptions_status,source_document,source_url,publication_date,notes
2025,Сургут,ADOPTED,49278363.59519,20489196.60116,3653317.83133,16835878.76983,28789166.99403,51520222.17054,2241858.57535,2241858.57535,1285538.88023,1145352.69499,220724.70151,VERIFIED,"Решение Думы города от 23.12.2024 № 713-VII ДГ","https://admsurgut.ru/files/materials/files/files9/%D0%A0%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE%D1%82_23.12.2024___713-VII_%D0%94%D0%93.pdf",2024-12-25,"тыс. руб.; legal_deficit_base исключает безвозмездные поступления и НДФЛ по дополнительным нормативам"
2026,Сургут,PLAN_PERIOD,45162741.49580,19901372.70499,2380666.37961,17520706.32538,25261368.79081,47247710.40792,2084968.91212,2084968.91212,384916.04800,2845405.55911,531638.91410,VERIFIED,"Решение Думы города от 23.12.2024 № 713-VII ДГ","https://admsurgut.ru/files/materials/files/files9/%D0%A0%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE%D1%82_23.12.2024___713-VII_%D0%94%D0%93.pdf",2024-12-25,"тыс. руб.; legal_deficit_base исключает безвозмездные поступления и НДФЛ по дополнительным нормативам"
2027,Сургут,PLAN_PERIOD,46965401.19838,21773828.40757,3343362.33527,18430466.07230,25191572.79081,48036682.89113,1071281.69275,1071281.69275,0.00000,3916687.25186,941373.93900,VERIFIED,"Решение Думы города от 23.12.2024 № 713-VII ДГ","https://admsurgut.ru/files/materials/files/files9/%D0%A0%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BE%D1%82_23.12.2024___713-VII_%D0%94%D0%93.pdf",2024-12-25,"тыс. руб.; legal_deficit_base исключает безвозмездные поступления и НДФЛ по дополнительным нормативам"
