year,municipality_name,municipality_oktmo,period_end,frequency,income_plan_deviation,program_expense_share,budget_amendments,debt_load,quality_rank,article136_high_subsidy_flag,source_file,publication_date,data_status
2024,Пыть-Ях,,2024-12-31,YEAR,0.3025887638506153,0.9907273823627061,5.0,0.02675437637557095,9.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2024,Радужный,,2024-12-31,YEAR,0.41509171228721853,0.9800623875027462,5.0,0.0,5.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2024,Советский,,2024-12-31,YEAR,0.1413344946325169,0.9938596547407852,7.0,0.23286648459455775,5.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2024,Сургут,,2024-12-31,YEAR,0.2584932045703095,0.9318099498456347,5.0,0.010728458854470654,3.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2024,Сургутский,,2024-12-31,YEAR,0.11922922535535141,0.9999284063383791,3.0,0.0,1.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2024,Урай,,2024-12-31,YEAR,0.25795485494183407,0.9932609315318577,5.0,0.0,4.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2024,Ханты-Мансийск,,2024-12-31,YEAR,0.18243282577111414,1.0,2.0,0.05201011801275562,2.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2024,Ханты-Мансийский,,2024-12-31,YEAR,0.46708968877893625,0.9736292213770404,7.0,0.056812386141640414,7.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2024,Югорск,,2024-12-31,YEAR,0.11811254437376359,0.9962765382526728,3.0,0.15860744771391017,7.0,0.0,Расчет по итогам 2024 (на сайт).xlsx,,derived_from_official_public
2025,Белоярский,,2025-12-31,YEAR,0.08132599732206287,1.0,3.0,0.0,1.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Березовский,,2025-12-31,YEAR,0.10158167929045739,1.0,5.0,0.0,4.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Когалым,,2025-12-31,YEAR,0.49536015401062616,0.9914803254023653,3.0,0.0,2.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Кондинский,,2025-12-31,YEAR,0.15317265656172854,0.9930937003694684,12.0,0.05436326074462163,7.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Лангепас,,2025-12-31,YEAR,0.12893161646496568,0.9924022612749791,5.0,0.21351459537642464,7.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
2025,Мегион,,2025-12-31,YEAR,0.19784531997434002,0.9893162751109493,3.0,0.18123003325415016,8.0,0.0,Расчет по итогам 2025 год.xlsx,,derived_from_official_public
