year,period,period_end,municipality_name,population,estimated_revenue,estimated_obligations,revenue_shortfall,bo_actual,bo_calculated,equalization_support,source_file,source_status
2023,Q3,2023-09-30,Октябрьский,32050,2561398.0999999996,2439078.5,-122319.59999999963,1.04039708732356,0.7030653861268953,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Покачи,16201,990698.7999999999,954508.1666666669,-36190.63333333307,1.339587199831221,0.4627919542729327,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Пыть-Ях,40253,2211995.8000000003,2373530.5999999996,161534.79999999935,1.3753940397822784,0.9215529656460344,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Радужный,44635,1732639.8,1793955.8999999997,61316.09999999963,1.0367601774535133,0.5040702829803899,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Советский,46585,2382457.1999999997,2425640.0333333327,43182.83333333302,1.2558122962450367,0.600341925630236,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Сургут,406938,17486266.2,18157091.566666666,670825.3666666672,1.1828362699169415,1.1037149698753055,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Сургутский,127611,9293583.4,9661606.23333333,368022.8333333302,1.628052280115339,1.849839342700983,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Урай,41141,1908368.1,1984024.6666666663,75656.56666666619,1.1158883995514992,0.6243774764988189,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Ханты-Мансийск,109745,5339147.800000001,5624233.533333333,285085.73333333246,1.3248779874459318,1.2794818516831754,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Ханты-Мансийский,18866,2882991.4,2844008.231666667,-38983.168333332986,1.349254600640271,1.2951893906460674,,Расчет.xlsx,official_calculation
2023,Q3,2023-09-30,Югорск,38611,2140376,2129334.9000000004,-11041.099999999627,1.3283959301180694,0.7908020391336835,,Расчет.xlsx,official_calculation
