year,municipality_name,budget_side,group,item_name,amount,item_code,is_transfer,is_recurring,is_subvention,is_debt_service,is_borrowing,flexibility,source_file,notes
2026,Сургут,EXPENDITURE,"Обслуживание муниципального долга","Обслуживание муниципального долга",531638.91410,,0,,,1,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2026,Сургут,FINANCING,Источники финансирования,Источники финансирования дефицита,2084968.91212,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 2; тыс. руб."
2026,Сургут,EXCEPTION,Допустимые исключения,Специальные источники превышения базового предела,384916.04800,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 2; тыс. руб."
2027,Сургут,REVENUE,Собственные доходы,Доходы без безвозмездных поступлений,21773828.40757,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 1; тыс. руб."
2027,Сургут,REVENUE,Безвозмездные поступления,Безвозмездные поступления,25191572.79081,,1,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 1; тыс. руб."
2027,Сургут,EXPENDITURE,"Общегосударственные вопросы","Общегосударственные вопросы",5705820.37889,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Национальная безопасность и правоохранительная деятельность","Национальная безопасность и правоохранительная деятельность",322374.00857,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Национальная экономика","Национальная экономика",7964911.78458,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Жилищно-коммунальное хозяйство","Жилищно-коммунальное хозяйство",1736219.51170,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Охрана окружающей среды","Охрана окружающей среды",105867.08796,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Образование","Образование",27094024.67207,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Культура, кинематография","Культура, кинематография",1810686.75478,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Здравоохранение","Здравоохранение",7118.60170,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Социальная политика","Социальная политика",497434.71509,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Физическая культура и спорт","Физическая культура и спорт",1847252.64246,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Средства массовой информации","Средства массовой информации",3598.79433,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,EXPENDITURE,"Обслуживание муниципального долга","Обслуживание муниципального долга",941373.93900,,0,,,1,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 3; тыс. руб."
2027,Сургут,FINANCING,Источники финансирования,Источники финансирования дефицита,1071281.69275,,0,,,0,0,UNKNOWN,"Решение №713-VII ДГ","Приложение 2; тыс. руб."
